UTC,ShipName,MMSI,DRAFT AFT,DRAFT FWD,DRAFT PORT,DRAFT STBD,File name,FilePath
2020-03-12 7:35,한나라호,441273000,5.89.E+00,5.73.E+00,5.86.E+00,5.94.E+00,HANNARA_DRAFT.mp4,D:/kmou
2020-03-12 7:37,한나라호,441273000,5.91.E+00,5.81.E+00,5.87.E+00,5.87.E+00,HANNARA_DRAFT.mp4,D:/kmou
2020-03-12 7:39,한나라호,441273000,5.84.E+00,5.64.E+00,5.94.E+00,5.88.E+00,HANNARA_DRAFT.mp4,D:/kmou
2020-03-12 7:41,한나라호,441273000,5.84.E+00,5.67.E+00,5.82.E+00,5.92.E+00,HANNARA_DRAFT.mp4,D:/kmou
2020-03-12 7:43,한나라호,441273000,5.87.E+00,5.69.E+00,5.92.E+00,5.88.E+00,HANNARA_DRAFT.mp4,D:/kmou
2020-03-12 7:45,한나라호,441273000,5.87.E+00,5.81.E+00,5.83.E+00,5.86.E+00,HANNARA_DRAFT.mp4,D:/kmou
2020-03-12 7:47,한나라호,441273000,5.85.E+00,5.63.E+00,5.94.E+00,5.86.E+00,HANNARA_DRAFT.mp4,D:/kmou
2020-03-12 7:49,한나라호,441273000,5.90.E+00,5.80.E+00,5.86.E+00,5.90.E+00,HANNARA_DRAFT.mp4,D:/kmou
2020-03-12 7:51,한나라호,441273000,5.86.E+00,5.68.E+00,5.93.E+00,5.85.E+00,HANNARA_DRAFT.mp4,D:/kmou
2020-03-12 7:53,한나라호,441273000,5.85.E+00,5.76.E+00,5.86.E+00,5.85.E+00,HANNARA_DRAFT.mp4,D:/kmou
2020-03-12 7:55,한나라호,441273000,5.85.E+00,5.71.E+00,5.90.E+00,5.90.E+00,HANNARA_DRAFT.mp4,D:/kmou
2020-03-12 7:57,한나라호,441273000,5.86.E+00,5.67.E+00,5.89.E+00,5.85.E+00,HANNARA_DRAFT.mp4,D:/kmou
2020-03-12 7:59,한나라호,441273000,5.86.E+00,5.71.E+00,5.85.E+00,5.97.E+00,HANNARA_DRAFT.mp4,D:/kmou
2020-03-12 8:01,한나라호,441273000,5.87.E+00,5.69.E+00,5.82.E+00,5.98.E+00,HANNARA_DRAFT.mp4,D:/kmou
2020-03-12 8:05,한나라호,441273000,5.89.E+00,5.70.E+00,5.88.E+00,5.92.E+00,HANNARA_DRAFT.mp4,D:/kmou
2020-03-12 8:07,한나라호,441273000,5.87.E+00,5.77.E+00,5.91.E+00,5.78.E+00,HANNARA_DRAFT.mp4,D:/kmou
2020-03-12 8:09,한나라호,441273000,5.88.E+00,5.76.E+00,5.83.E+00,5.87.E+00,HANNARA_DRAFT.mp4,D:/kmou
2020-03-12 9:27,한나라호,441273000,5.86.E+00,5.70.E+00,5.88.E+00,5.91.E+00,HANNARA_DRAFT.mp4,D:/kmou
2020-03-12 9:29,한나라호,441273000,5.85.E+00,5.70.E+00,5.87.E+00,5.91.E+00,HANNARA_DRAFT.mp4,D:/kmou
2020-03-12 9:33,한나라호,441273000,5.87.E+00,5.81.E+00,5.81.E+00,5.90.E+00,HANNARA_DRAFT.mp4,D:/kmou
2020-03-12 9:43,한나라호,441273000,5.85.E+00,5.64.E+00,5.96.E+00,5.86.E+00,HANNARA_DRAFT.mp4,D:/kmou
2020-03-12 9:45,한나라호,441273000,5.88.E+00,5.67.E+00,5.91.E+00,5.87.E+00,HANNARA_DRAFT.mp4,D:/kmou
2020-03-12 9:47,한나라호,441273000,5.86.E+00,5.74.E+00,5.85.E+00,5.93.E+00,HANNARA_DRAFT.mp4,D:/kmou
2020-03-12 9:49,한나라호,441273000,5.85.E+00,5.72.E+00,5.88.E+00,5.84.E+00,HANNARA_DRAFT.mp4,D:/kmou
2020-03-12 10:01,한나라호,441273000,5.86.E+00,5.69.E+00,5.86.E+00,5.91.E+00,HANNARA_DRAFT.mp4,D:/kmou
2020-03-12 10:08,한나라호,441273000,5.87.E+00,5.75.E+00,5.86.E+00,5.91.E+00,HANNARA_DRAFT.mp4,D:/kmou
2020-03-12 10:09,한나라호,441273000,5.86.E+00,5.62.E+00,5.93.E+00,5.89.E+00,HANNARA_DRAFT.mp4,D:/kmou
